PM2.5,NO2,Latitude,Longitude,Temperature,Humidity,Wind_Speed,Month,Day_of_Week,PM10,CO,SO2,O3,City,Date
73.24,21.11,23.0225,72.5714,13.248,61.898613,12.096214,1,2,141.54,5.72,36.52,62.42,Ahmedabad,2015-01-28
83.13,28.71,23.0225,72.5714,12.048,65.36168,9.422101,1,3,141.54,6.93,49.52,59.76,Ahmedabad,2015-01-29
79.84,28.68,23.0225,72.5714,13.648,57.05779,12.413477,1,4,141.54,13.85,48.49,97.07,Ahmedabad,2015-01-30
94.52,32.66,23.0225,72.5714,13.998,51.65556,10.948973,1,5,141.54,24.39,67.39,111.33,Ahmedabad,2015-01-31
135.99,42.08,23.0225,72.5714,13.148,72.66864,7.42159,2,6,141.54,43.48,75.23,102.7,Ahmedabad,2015-02-01
178.33,35.31,23.0225,72.5714,13.648,81.54609,7.8954163,2,0,141.54,54.56,55.04,107.38,Ahmedabad,2015-02-02
139.7,28.4,23.0225,72.5714,15.448,90.48645,6.9527545,2,1,141.54,30.61,33.79,73.6,Ahmedabad,2015-02-03
80.65,22.83,23.0225,72.5714,17.248,55.464996,13.513193,2,2,141.54,2.37,25.73,47.3,Ahmedabad,2015-02-04
58.36,21.39,23.0225,72.5714,17.398,40.263405,11.808878,2,3,141.54,2.6,32.66,53.54,Ahmedabad,2015-02-05
79.29,26.94,23.0225,72.5714,16.948,65.760506,9.0,2,4,141.54,1.16,67.41,59.3,Ahmedabad,2015-02-06
88.7,31.32,23.0225,72.5714,17.248,39.239494,7.172949,2,5,141.54,7.29,80.09,44.76,Ahmedabad,2015-02-07
74.28,27.3,23.0225,72.5714,15.798,41.53325,8.0899935,2,6,141.54,8.92,54.28,47.42,Ahmedabad,2015-02-08
113.93,24.27,23.0225,72.5714,14.998,58.192047,9.686609,2,0,141.54,4.32,48.73,39.94,Ahmedabad,2015-02-09
105.39,18.21,23.0225,72.5714,18.448,58.25378,14.168641,2,1,141.54,1.41,35.91,56.15,Ahmedabad,2015-02-10
66.52,23.8,23.0225,72.5714,16.948,76.04775,7.42159,2,2,141.54,6.34,66.58,53.14,Ahmedabad,2015-02-11
65.04,30.1,23.0225,72.5714,16.248,40.500626,9.028754,2,3,141.54,14.19,65.91,31.88,Ahmedabad,2015-02-12
103.36,39.56,23.0225,72.5714,15.448,42.174217,7.7043357,2,4,141.54,18.18,80.43,40.11,Ahmedabad,2015-02-13
177.33,47.58,23.0225,72.5714,15.548,63.714695,9.449572,2,5,141.54,37.49,99.72,36.47,Ahmedabad,2015-02-14
113.25,30.5,23.0225,72.5714,16.448,81.906105,8.942214,2,6,141.54,15.55,69.71,33.78,Ahmedabad,2015-02-15
99.7,28.1,23.0225,72.5714,16.698,78.02573,7.6367526,2,0,141.54,19.85,73.23,30.57,Ahmedabad,2015-02-16
80.61,21.04,23.0225,72.5714,18.298,81.08916,10.587918,2,1,141.54,15.96,54.7,36.2,Ahmedabad,2015-02-17
100.79,25.93,23.0225,72.5714,17.898,86.140854,7.7879906,2,2,141.54,16.24,43.11,37.43,Ahmedabad,2015-02-18
107.99,30.09,23.0225,72.5714,17.798,78.443985,7.10031,2,3,141.54,11.25,84.86,31.94,Ahmedabad,2015-02-19
140.29,36.14,23.0225,72.5714,18.098,69.34765,7.7043357,2,4,141.54,33.84,101.53,40.98,Ahmedabad,2015-02-20
239.96,46.25,23.0225,72.5714,18.448,63.51449,7.729527,2,5,141.54,61.95,84.87,33.55,Ahmedabad,2015-02-21
142.96,48.21,23.0225,72.5714,19.398,62.893814,7.628263,2,6,141.54,45.45,62.96,34.77,Ahmedabad,2015-02-22
238.41,55.07,23.0225,72.5714,18.998,68.17585,3.0758414,2,0,141.54,77.7,89.07,37.3,Ahmedabad,2015-02-23
118.72,32.01,23.0225,72.5714,19.798,71.50574,5.0911684,2,1,141.54,12.56,61.54,38.8,Ahmedabad,2015-02-24
52.99,10.45,23.0225,72.5714,20.598,53.049725,11.753876,2,2,141.54,2.23,32.76,67.25,Ahmedabad,2015-02-25
61.12,16.81,23.0225,72.5714,18.298,85.90554,12.620554,3,6,141.54,3.58,28.44,30.48,Ahmedabad,2015-03-01
60.78,18.21,23.0225,72.5714,15.598,90.20415,10.296251,3,0,141.54,9.07,29.48,34.75,Ahmedabad,2015-03-02
91.83,28.71,23.0225,72.5714,12.598,86.75152,6.9899354,3,1,141.54,12.99,39.71,38.46,Ahmedabad,2015-03-03
93.88,29.38,23.0225,72.5714,14.298,82.99292,7.8954163,3,2,141.54,18.21,62.75,46.79,Ahmedabad,2015-03-04
173.01,42.27,23.0225,72.5714,14.248,78.95755,8.049845,3,3,141.54,48.44,78.76,59.39,Ahmedabad,2015-03-05
105.45,16.1,23.0225,72.5714,17.598,78.66951,8.557102,3,5,141.54,2.5,29.29,69.9,Ahmedabad,2015-03-07
71.56,16.83,23.0225,72.5714,19.398,68.70225,10.44,3,6,141.54,3.51,30.28,57.16,Ahmedabad,2015-03-08
119.8,24.07,23.0225,72.5714,17.448,50.640205,12.641076,3,0,141.54,4.13,50.35,50.49,Ahmedabad,2015-03-09
106.71,25.59,23.0225,72.5714,18.148,28.85395,14.291592,3,1,141.54,5.39,38.85,60.17,Ahmedabad,2015-03-10
118.49,28.94,23.0225,72.5714,19.848,49.753765,11.212135,3,2,141.54,4.11,54.2,53.61,Ahmedabad,2015-03-11
106.01,27.31,23.0225,72.5714,19.148,65.796036,9.0,3,3,141.54,4.28,70.29,40.91,Ahmedabad,2015-03-12
97.34,21.58,23.0225,72.5714,20.698,51.853348,8.089993,3,4,141.54,3.67,64.39,45.69,Ahmedabad,2015-03-13
83.92,25.03,23.0225,72.5714,19.598,80.99985,4.1046314,3,5,141.54,6.42,67.53,34.94,Ahmedabad,2015-03-14
49.51,14.16,23.0225,72.5714,18.048,96.59581,5.4833565,3,6,141.54,3.1,48.33,37.95,Ahmedabad,2015-03-15
30.76,14.14,23.0225,72.5714,17.448,73.19916,9.793058,3,0,141.54,2.72,43.62,54.78,Ahmedabad,2015-03-16
50.29,29.84,23.0225,72.5714,16.348,60.951714,7.8625183,3,1,141.54,5.34,59.23,45.44,Ahmedabad,2015-03-17
57.69,29.48,23.0225,72.5714,18.648,50.79046,8.707237,3,2,141.54,25.36,58.33,52.87,Ahmedabad,2015-03-18
105.06,37.05,23.0225,72.5714,17.898,55.818794,8.854829,3,3,141.54,46.24,53.62,45.65,Ahmedabad,2015-03-19
94.1,36.53,23.0225,72.5714,18.998,52.631325,9.826088,3,4,141.54,22.14,61.31,46.77,Ahmedabad,2015-03-20
111.89,43.29,23.0225,72.5714,20.498,53.73399,9.387651,3,5,141.54,22.25,66.44,50.57,Ahmedabad,2015-03-21
108.59,39.34,23.0225,72.5714,20.698,57.841347,7.5685663,3,6,141.54,25.38,75.8,46.68,Ahmedabad,2015-03-22
130.76,41.03,23.0225,72.5714,24.098,47.194427,7.928177,3,0,141.54,45.61,65.77,41.58,Ahmedabad,2015-03-23
143.55,31.15,23.0225,72.5714,24.598,41.61225,10.514218,3,1,141.54,27.3,50.98,35.38,Ahmedabad,2015-03-24
165.07,34.48,23.0225,72.5714,23.698,45.705708,7.42159,3,2,141.54,23.83,64.32,43.79,Ahmedabad,2015-03-25
166.85,43.3,23.0225,72.5714,25.098,37.275307,7.928177,3,3,141.54,17.93,79.71,53.44,Ahmedabad,2015-03-26
147.38,35.82,23.0225,72.5714,24.548,68.19218,6.151683,3,4,141.54,6.4,46.89,17.94,Ahmedabad,2015-03-27
158.25,27.89,23.0225,72.5714,24.448,55.449696,6.924738,3,5,141.54,5.86,142.36,38.54,Ahmedabad,2015-03-28
237.76,21.8,23.0225,72.5714,26.748,41.25457,5.8603754,3,6,141.54,4.99,96.28,39.77,Ahmedabad,2015-03-29
133.37,17.99,23.0225,72.5714,22.398,60.172504,8.557102,3,0,141.54,3.88,57.34,39.66,Ahmedabad,2015-03-30
133.3,20.0,23.0225,72.5714,20.748,45.500465,7.2805495,3,1,141.54,6.52,51.58,59.03,Ahmedabad,2015-03-31
96.04,20.07,23.0225,72.5714,21.848,52.67429,7.5170207,4,2,141.54,3.8,62.42,46.61,Ahmedabad,2015-04-01
77.69,18.87,23.0225,72.5714,21.848,66.36417,8.350138,4,3,141.54,5.24,100.48,27.14,Ahmedabad,2015-04-02
53.07,13.82,23.0225,72.5714,22.848,75.068886,6.638072,4,4,141.54,4.17,40.36,21.76,Ahmedabad,2015-04-03
63.11,15.5,23.0225,72.5714,23.748,78.56095,7.42159,4,5,141.54,5.63,38.21,4.72,Ahmedabad,2015-04-04
156.76,16.7,23.0225,72.5714,22.098,86.27947,6.924738,4,6,141.54,3.92,26.32,37.11,Ahmedabad,2015-04-05
120.96,20.86,23.0225,72.5714,22.848,72.745155,6.618519,4,0,141.54,4.23,35.54,35.66,Ahmedabad,2015-04-06
138.63,25.47,23.0225,72.5714,24.048,62.31849,2.7416782,4,1,141.54,5.65,87.43,29.77,Ahmedabad,2015-04-07
144.36,30.69,23.0225,72.5714,25.348,56.20907,3.319036,4,2,141.54,15.82,66.39,27.34,Ahmedabad,2015-04-08
85.03,26.7,23.0225,72.5714,25.448,43.68205,8.654986,4,3,141.54,3.3,59.16,35.89,Ahmedabad,2015-04-09
134.6,26.27,23.0225,72.5714,24.598,70.15023,6.3690495,4,4,141.54,5.9,34.53,7.0,Ahmedabad,2015-04-10
61.06,14.03,23.0225,72.5714,24.448,83.90195,11.885453,4,5,141.54,3.52,8.08,19.54,Ahmedabad,2015-04-11
39.42,19.56,23.0225,72.5714,23.248,88.267365,8.905908,4,6,141.54,5.28,17.66,31.3,Ahmedabad,2015-04-12
111.86,22.51,23.0225,72.5714,22.448,76.431885,4.73506,4,0,141.54,3.89,15.84,31.23,Ahmedabad,2015-04-13
58.37,21.71,23.0225,72.5714,23.398,81.48777,6.87779,4,1,141.54,5.74,25.9,43.92,Ahmedabad,2015-04-14
95.37,26.23,23.0225,72.5714,24.148,55.733143,6.489992,4,2,141.54,18.01,13.59,41.64,Ahmedabad,2015-04-15
141.3,36.88,23.0225,72.5714,23.748,73.58989,5.506941,4,3,141.54,30.8,41.06,37.66,Ahmedabad,2015-04-16
106.68,46.38,23.0225,72.5714,24.948,56.651913,0.5091169,4,4,141.54,19.91,31.56,48.49,Ahmedabad,2015-04-17
109.48,20.27,23.0225,72.5714,26.498,41.32049,7.9932976,4,5,141.54,4.3,46.6,31.34,Ahmedabad,2015-04-18
126.04,20.18,23.0225,72.5714,24.898,51.095413,7.10031,4,6,141.54,6.99,79.56,28.71,Ahmedabad,2015-04-19
71.22,21.32,23.0225,72.5714,26.098,45.613148,8.209263,4,0,141.54,16.73,50.09,28.39,Ahmedabad,2015-04-20
